,Price,Location,Bedrooms(s),Property Type,Property Category,District,Price_Cleaned,Price(Converted_to_naira),Price(Float)
0,"₦ 35,000,000/year",Diplomatic Zone Asokoro Abuja,5,Furnished Detached Duplex,Duplex,Asokoro,"₦ 35,000,000","₦35,000,000.00",35000000.0
1,"₦ 40,000,000/year",Asokoro District Abuja Diplomatic Zone Asokoro Abuja,6,Mansion With 2room Bq,Duplex,Asokoro,"₦ 40,000,000","₦40,000,000.00",40000000.0
2,"₦ 13,000,000/year",Asokoro Abuja Diplomatic Zone Asokoro Abuja,3,Block Of Flat,Apartment,Asokoro,"₦ 13,000,000","₦13,000,000.00",13000000.0
3,"₦ 18,000,000/year",Guzape District Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex With Bq,Duplex,Guzape,"₦ 18,000,000","₦18,000,000.00",18000000.0
4,"₦ 25,000,000/year","Diplomatic Zone, Guzape Abuja",4,Newly Built Terrace Duplex With Bq,Duplex,Guzape,"₦ 25,000,000","₦25,000,000.00",25000000.0
5,"₦ 25,000,000/year",Asokoro District Abuja Diplomatic Zone Asokoro Abuja,4,Brand New Terraced Duplex With 1 Bq,Duplex,Asokoro,"₦ 25,000,000","₦25,000,000.00",25000000.0
6,"₦ 60,000,000/year","Diplomatic Zone, Guzape Abuja",5,Newly Built Detached Duplex With Bq,Duplex,Guzape,"₦ 60,000,000","₦60,000,000.00",60000000.0
7,"₦ 18,000,000/year",Guzape District Abuja Diplomatic Zone Guzape Abuja,4,4 Units Of Terrace Duplex With Bq,Duplex,Guzape,"₦ 18,000,000","₦18,000,000.00",18000000.0
8,"₦ 12,000,000/year","Asokoro District Abuja Diplomatic Zone, Asokoro Abuja",2,Well Renovated Flat,Apartment,Asokoro,"₦ 12,000,000","₦12,000,000.00",12000000.0
10,"₦ 5,500,000/year",Navy Town Estate Asokoro Diplomatic Zone In Asokoro Abuja,1,Bungalow,Bungalow,Asokoro,"₦ 5,500,000","₦5,500,000.00",5500000.0
11,"₦ 80,000,000/year",Maitama District Abuja Diplomatic Zone Maitama Abuja,5,Fully Detached Mansion With 3room Bq,Duplex,Maitama,"₦ 80,000,000","₦80,000,000.00",80000000.0
12,"₦ 25,000,000/year","Diplomatic Zone, Asokoro Abuja",4,Terrace Duplex With Bq,Duplex,Asokoro,"₦ 25,000,000","₦25,000,000.00",25000000.0
13,"₦ 20,000,000/year",Guzape District Abuja Diplomatic Zone Guzape Abuja,4,Detached Duplex With 2room Bq,Duplex,Guzape,"₦ 20,000,000","₦20,000,000.00",20000000.0
14,"₦ 10,000,000/year",Mabushi District Abuja Mabushi Abuja,3,Block Of Flat,Apartment,Mabushi,"₦ 10,000,000","₦10,000,000.00",10000000.0
15,"$ 35,000/year",Mabushi District Abuja Diplomatic Zone Mabushi Abuja,2,Block Of Flat,Apartment,Mabushi,"$ 35,000","₦47,423,950.00",47423950.0
16,"$ 35,000/year",Mabushi District Abuja Diplomatic Zone Mabushi Abuja,2,With Swimming Pool,,Mabushi,"$ 35,000","₦47,423,950.00",47423950.0
17,"₦ 25,000,000/year",Wuse 2 District Abuja Diplomatic Zone Wuse 2 Abuja,4,Detached Duplex With Swimming Pool Gym,Duplex,Wuse,"₦ 25,000,000","₦25,000,000.00",25000000.0
18,"$ 180,000/year",Asokoro District Abuja Diplomatic Zone Asokoro Abuja,3,Mansion With Swimming Pool,Duplex,Asokoro,"$ 180,000","₦243,894,600.00",243894600.0
19,"₦ 25,000,000/year","Guzape District, Guzape Abuja",4,Fully Furnished Terraced Duplex With 1 Bq,Duplex,Guzape,"₦ 25,000,000","₦25,000,000.00",25000000.0
20,"₦ 7,500,000/year","Naf Valley Estate, Asokoro Abuja",3,Brand New Block Of Flat,Apartment,Asokoro,"₦ 7,500,000","₦7,500,000.00",7500000.0
21,"₦ 13,000,000/year",Asokoro District Abuja Diplomatic Zone Asokoro Abuja,3,Well Renovated Terrace Duplex With Bq,Duplex,Asokoro,"₦ 13,000,000","₦13,000,000.00",13000000.0
22,"₦ 65,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,5,Mansion With Bq,Duplex,Guzape,"₦ 65,000,000","₦65,000,000.00",65000000.0
23,"₦ 50,000,000/year",Diplomatic Zone Maitama Abuja,5,Renovated Mansion,Duplex,Maitama,"₦ 50,000,000","₦50,000,000.00",50000000.0
24,"₦ 35,000,000/year",By National Assembly Qt Apo Abuja,5,Duplex With Quest Chalet,Duplex,Apo,"₦ 35,000,000","₦35,000,000.00",35000000.0
25,"₦ 20,000,000/year",Maitama District Abuja Diplomatic Zone Maitama Abuja,3,Block,,Maitama,"₦ 20,000,000","₦20,000,000.00",20000000.0
26,"₦ 20,000,000/year","Guzape District Abuja Diplomatic Zone, Guzape Abuja",4,Well Renovated Terraced Duplex With 1 Bq,Duplex,Guzape,"₦ 20,000,000","₦20,000,000.00",20000000.0
27,"₦ 13,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex,Duplex,Guzape,"₦ 13,000,000","₦13,000,000.00",13000000.0
28,"₦ 29,000,000/year",Diplomatic Zone Guzape Abuja,5,Furnished Detached Duplex,Duplex,Guzape,"₦ 29,000,000","₦29,000,000.00",29000000.0
29,"₦ 10,000,000/year",Durumi Abuja By American International School Durumi Abuja,2,Furnished Block Of Flat,Apartment,Durumi,"₦ 10,000,000","₦10,000,000.00",10000000.0
31,"₦ 35,000,000/year",Diplomatic Zone Asokoro Abuja,5,Furnished Detached Duplex With Bq,Duplex,Asokoro,"₦ 35,000,000","₦35,000,000.00",35000000.0
32,"₦ 30,000,000/year",Diplomatic Zone Asokoro Abuja,6,Under Renovation Detached Duplex,Duplex,Asokoro,"₦ 30,000,000","₦30,000,000.00",30000000.0
33,"$ 35,000/year","Diplomatic Zone, Guzape Abuja",4,Furnished Duplex With Bq,Duplex,Guzape,"$ 35,000","₦47,423,950.00",47423950.0
34,"₦ 15,000,000/year",Diplomatic Zone Guzape Abuja,4,Under Renovation Terrace Duplex With Bq,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
35,"₦ 15,000,000/year",Guzape District Abuja Diplomatic Zone Guzape Abuja,5,Terrace Duplex With 1room Bq,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
36,"₦ 20,000,000/year",Diplomatic Zone Guzape Abuja,3,Newly Built Terrace Duplex With Bq,Duplex,Guzape,"₦ 20,000,000","₦20,000,000.00",20000000.0
37,"₦ 35,000,000/year",Jabi District Abuja Diplomatic Zone Jabi Abuja,4,Brand New Detached Duplex With 1room Bq,Duplex,Jabi,"₦ 35,000,000","₦35,000,000.00",35000000.0
38,"₦ 3,000,000/year",Navy Town Estate Asokoro Diplomatic Asokoro Abuja,,Room Self Contained,Apartment,Asokoro,"₦ 3,000,000","₦3,000,000.00",3000000.0
39,"₦ 40,000,000/year","Asokoro District Abuja Diplomatic Zone, Asokoro Abuja",6,Duplex With Quest Chalet,Duplex,Asokoro,"₦ 40,000,000","₦40,000,000.00",40000000.0
40,"₦ 35,000,000/year","Diplomatic Zone, Maitama Abuja",4,Brand New Terrace Duplex,Duplex,Maitama,"₦ 35,000,000","₦35,000,000.00",35000000.0
41,"₦ 12,000,000/year",Durumi Abuja By American International School Durumi Abuja,3,Block Of Flat,Apartment,Durumi,"₦ 12,000,000","₦12,000,000.00",12000000.0
42,"₦ 50,000,000/year",Maitama Abuja,6,Fully Detached Duplex,Duplex,Maitama,"₦ 50,000,000","₦50,000,000.00",50000000.0
45,"₦ 10,000,000/year",Jahi Gilmore Jahi Abuja,3,Newly Built Flats,Apartment,Jahi,"₦ 10,000,000","₦10,000,000.00",10000000.0
46,"₦ 30,000,000/year",Garki 1 Abuja,4,Duplex,Duplex,Garki,"₦ 30,000,000","₦30,000,000.00",30000000.0
47,"₦ 25,000,000/year",4th Avenue Gwarinpa Abuja,5,s Detached Duplex,Duplex,Gwarinpa,"₦ 25,000,000","₦25,000,000.00",25000000.0
48,"₦ 15,000,000/year",Maitama Abuja,4,Flat,Apartment,Maitama,"₦ 15,000,000","₦15,000,000.00",15000000.0
