Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),Price(Float),District
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦8,500,000","Games Village, Kaura, Abuja",3,Apartment,"₦8,500,000.00","8,500,000.00",Kaura
mini flat (room and parlour),"₦1,500,000","Along Apo Primary/wumba, Apo, Abuja",1,Apartment,"₦1,500,000.00","1,500,000.00",Apo
flat / apartment,"₦10,000,000","Apo Nepa By Aa Rano Filling Station, Apo, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Apo
flat / apartment,"₦7,500,000","Apo Nepa By A.a Rano Filling Station, Apo, Abuja",2,Apartment,"₦7,500,000.00","7,500,000.00",Apo
detached duplex,"₦9,000,000","Around Sunnyvale Estate, Lokogoma District, Abuja",5,Duplex,"₦9,000,000.00","9,000,000.00",Lokogoma
flat / apartment,"₦3,500,000","Apo, Abuja",3,Apartment,"₦3,500,000.00","3,500,000.00",Apo
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Mabushi
detached bungalow,"₦8,000,000","Jahi, Abuja",3,Bungalow,"₦8,000,000.00","8,000,000.00",Jahi
flat / apartment,"₦20,000,000","Life Camp, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Life Camp
flat / apartment,"₦22,000,000","Life Camp, Abuja",3,Apartment,"₦22,000,000.00","22,000,000.00",Life Camp
detached bungalow,"₦40,000,000","Guzape District, Abuja",4,Bungalow,"₦40,000,000.00","40,000,000.00",Guzape
flat / apartment,"₦5,000,000","Nepa, Apo, Abuja",1,Apartment,"₦5,000,000.00","5,000,000.00",Apo
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Mabushi
flat / apartment,"₦10,000,000","Jabi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jabi
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
terraced duplex,"₦13,500,000","Mabushi, Abuja",4,Duplex,"₦13,500,000.00","13,500,000.00",Mabushi
terraced duplex,"₦13,000,000","Mabushi, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Mabushi
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Mabushi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Mabushi
detached bungalow,"₦7,000,000","Life Camp, Abuja",4,Bungalow,"₦7,000,000.00","7,000,000.00",Life Camp
flat / apartment,"₦9,000,000","Jabi, Abuja",3,Apartment,"₦9,000,000.00","9,000,000.00",Jabi
flat / apartment,"₦9,000,000","Jahi, Abuja",3,Apartment,"₦9,000,000.00","9,000,000.00",Jahi
flat / apartment,"₦10,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Katampe
detached bungalow,"₦8,500,000","Jahi, Abuja",3,Bungalow,"₦8,500,000.00","8,500,000.00",Jahi
flat / apartment,"₦12,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Jahi
semi-detached bungalow,"₦7,000,000","Area 1, Garki, Abuja",4,Bungalow,"₦7,000,000.00","7,000,000.00",Garki
flat / apartment,"₦9,000,000","By Gilmore, Jahi, Abuja",4,Apartment,"₦9,000,000.00","9,000,000.00",Jahi
mini flat (room and parlour),"₦3,500,000","Utako, Abuja",1,Apartment,"₦3,500,000.00","3,500,000.00",Utako
flat / apartment,"₦8,000,000","Nicon Junction, Katampe, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Katampe
flat / apartment,"₦9,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦9,000,000.00","9,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
detached duplex,"₦60,000,000","Maitama District, Abuja",5,Duplex,"₦60,000,000.00","60,000,000.00",Maitama
flat / apartment,"₦8,500,000","Jahi, Abuja",3,Apartment,"₦8,500,000.00","8,500,000.00",Jahi
mini flat (room and parlour),"₦7,500,000","By Pappies, Jahi, Abuja",1,Apartment,"₦7,500,000.00","7,500,000.00",Jahi
flat / apartment,"₦9,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦9,000,000.00","9,000,000.00",Jahi
semi-detached duplex,"₦10,000,000","Gwarinpa, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Gwarinpa
flat / apartment,"₦8,500,000","Jahi, Abuja",3,Apartment,"₦8,500,000.00","8,500,000.00",Jahi
flat / apartment,"₦8,000,000","Katampe Extension, Katampe, Abuja",1,Apartment,"₦8,000,000.00","8,000,000.00",Katampe
flat / apartment,"₦5,000,000","Life Camp, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Life Camp
mini flat (room and parlour),"₦4,000,000","Life Camp, Abuja",1,Apartment,"₦4,000,000.00","4,000,000.00",Life Camp
semi-detached bungalow,"₦3,500,000","Grace Land Estate Around Nut, Lugbe District, Abuja",3,Bungalow,"₦3,500,000.00","3,500,000.00",Lugbe
detached duplex,"₦250,000,000","Off Ty Danjuma Street, Asokoro District, Abuja",9,Duplex,"₦250,000,000.00","250,000,000.00",Asokoro
flat / apartment,"₦10,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
flat / apartment,"₦7,000,000","Kado, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Kado
terraced bungalow,"₦9,000,000","Lugbe District, Abuja",4,Bungalow,"₦9,000,000.00","9,000,000.00",Lugbe
flat / apartment,"₦10,000,000","Katampe, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Katampe
semi-detached bungalow,"₦5,000,000","Life Camp, Abuja",2,Bungalow,"₦5,000,000.00","5,000,000.00",Life Camp
flat / apartment,"₦10,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Katampe
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦6,000,000","Area 11, Garki, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Garki
semi-detached duplex,"₦20,000,000","Katampe (Main), Katampe, Abuja",6,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
flat / apartment,"₦10,000,000","Katampe, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Katampe
flat / apartment,"₦7,000,000","Jahi, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Jahi
flat / apartment,"₦4,500,000","1st Avenue, Gwarinpa, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Gwarinpa
semi-detached duplex,"₦20,000,000","Hafizullah Adam Street, Katampe, Abuja",6,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
flat / apartment,"₦7,000,000","Around Zartech, Wuye, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Wuye
flat / apartment,"₦7,000,000","Mabushi, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Mabushi
flat / apartment,"₦12,000,000","Jahi, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Jahi
flat / apartment,"₦10,000,000","Katampe Main Behind Aso Radio, Katampe, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Katampe
detached duplex,"₦15,000,000","Mab Global Estate, Gwarinpa, Abuja",5,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
terraced duplex,"₦15,000,000","Mabushi District, Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
flat / apartment,"₦8,000,000","54, Fola Daniel Street, Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
semi-detached duplex,"₦45,000,000","Maitama District, Abuja",4,Duplex,"₦45,000,000.00","45,000,000.00",Maitama
flat / apartment,"₦7,000,000","Gilmore, Jahi, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Jahi
detached bungalow,"₦8,500,000","Gwarimpa District, Gwarinpa, Abuja",4,Bungalow,"₦8,500,000.00","8,500,000.00",Gwarinpa
flat / apartment,"₦7,000,000","Around Zartech, Wuye, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Wuye
terraced duplex,"₦15,000,000","Dakibiyu, Jabi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Jabi
flat / apartment,"₦12,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
mini flat (room and parlour),"₦4,500,000","By Shoprite And Cedar Crest Hospital, Apo, Abuja",1,Apartment,"₦4,500,000.00","4,500,000.00",Apo
detached bungalow,"₦9,000,000","Jahi, Abuja",3,Bungalow,"₦9,000,000.00","9,000,000.00",Jahi
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
mini flat (room and parlour),"₦7,000,000","Gilmore, Jahi, Abuja",1,Apartment,"₦7,000,000.00","7,000,000.00",Jahi
terraced duplex,"₦15,000,000","Mabushi Main, Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
flat / apartment,"₦6,000,000","Utako, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Utako
flat / apartment,"₦4,000,000","Jahi By Living Faith Church, Jahi, Abuja",1,Apartment,"₦4,000,000.00","4,000,000.00",Jahi
terraced duplex,"₦25,000,000","Jabi, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Jabi
terraced duplex,"₦30,000,000","Utako, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Utako
flat / apartment,"₦12,000,000","Lami Ohaima Jibrin Street, Mabushi, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Mabushi
detached duplex,"₦7,000,000","Rainbow Estate, Lugbe District, Abuja",4,Duplex,"₦7,000,000.00","7,000,000.00",Lugbe
flat / apartment,"₦10,000,000","Katampe Main, Katampe, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Katampe
flat / apartment,"₦4,500,000","Mabushi, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Mabushi
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
flat / apartment,"₦12,000,000","Jahi, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
detached duplex,"₦30,000,000","Guzape District, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Guzape
flat / apartment,"₦8,000,000","Wuye, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Wuye
terraced duplex,"₦17,000,000","Guzape District, Abuja",4,Duplex,"₦17,000,000.00","17,000,000.00",Guzape
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
terraced duplex,"₦30,000,000","Guzape District, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Guzape
