Bedrooms,Property Category,Price(Float),District
3,Duplex,32000000.0,Jabi
3,Apartment,8500000.0,Kaura
1,Apartment,1500000.0,Apo
3,Apartment,10000000.0,Apo
2,Apartment,7500000.0,Apo
5,Duplex,9000000.0,Lokogoma
3,Apartment,3500000.0,Apo
4,Duplex,12000000.0,Mabushi
3,Bungalow,8000000.0,Jahi
2,Apartment,20000000.0,Life Camp
3,Apartment,22000000.0,Life Camp
4,Bungalow,40000000.0,Guzape
1,Apartment,5000000.0,Apo
4,Duplex,12000000.0,Mabushi
3,Apartment,10000000.0,Jabi
4,Duplex,15000000.0,Mabushi
4,Duplex,13500000.0,Mabushi
4,Duplex,13000000.0,Mabushi
4,Duplex,12000000.0,Mabushi
3,Duplex,32000000.0,Jabi
4,Duplex,12000000.0,Mabushi
4,Bungalow,7000000.0,Life Camp
3,Apartment,9000000.0,Jabi
3,Apartment,9000000.0,Jahi
3,Apartment,10000000.0,Katampe
3,Bungalow,8500000.0,Jahi
3,Apartment,12000000.0,Jahi
4,Bungalow,7000000.0,Garki
4,Apartment,9000000.0,Jahi
1,Apartment,3500000.0,Utako
3,Apartment,8000000.0,Katampe
3,Apartment,9000000.0,Jahi
3,Duplex,32000000.0,Jabi
5,Duplex,60000000.0,Maitama
3,Apartment,8500000.0,Jahi
1,Apartment,7500000.0,Jahi
3,Apartment,9000000.0,Jahi
4,Duplex,10000000.0,Gwarinpa
3,Apartment,8500000.0,Jahi
1,Apartment,8000000.0,Katampe
2,Apartment,5000000.0,Life Camp
1,Apartment,4000000.0,Life Camp
3,Bungalow,3500000.0,Lugbe
9,Duplex,250000000.0,Asokoro
3,Apartment,10000000.0,Jahi
4,Duplex,15000000.0,Mabushi
3,Apartment,8000000.0,Jahi
2,Apartment,7000000.0,Kado
4,Bungalow,9000000.0,Lugbe
3,Apartment,10000000.0,Katampe
2,Bungalow,5000000.0,Life Camp
3,Apartment,10000000.0,Katampe
3,Duplex,32000000.0,Jabi
2,Apartment,6000000.0,Garki
6,Duplex,20000000.0,Katampe
3,Apartment,10000000.0,Katampe
2,Apartment,7000000.0,Jahi
2,Apartment,4500000.0,Gwarinpa
6,Duplex,20000000.0,Katampe
3,Apartment,7000000.0,Wuye
3,Apartment,7000000.0,Mabushi
3,Apartment,12000000.0,Jahi
3,Apartment,10000000.0,Katampe
5,Duplex,15000000.0,Gwarinpa
4,Duplex,15000000.0,Mabushi
3,Apartment,8000000.0,Jahi
4,Duplex,45000000.0,Maitama
2,Apartment,7000000.0,Jahi
4,Bungalow,8500000.0,Gwarinpa
3,Apartment,7000000.0,Wuye
4,Duplex,15000000.0,Jabi
3,Apartment,12000000.0,Jahi
3,Duplex,32000000.0,Jabi
3,Apartment,8000000.0,Jahi
1,Apartment,4500000.0,Apo
3,Bungalow,9000000.0,Jahi
4,Duplex,15000000.0,Mabushi
1,Apartment,7000000.0,Jahi
4,Duplex,15000000.0,Mabushi
2,Apartment,6000000.0,Utako
1,Apartment,4000000.0,Jahi
4,Duplex,25000000.0,Jabi
5,Duplex,30000000.0,Utako
3,Apartment,12000000.0,Mabushi
4,Duplex,7000000.0,Lugbe
3,Apartment,10000000.0,Katampe
2,Apartment,4500000.0,Mabushi
3,Apartment,10000000.0,Jahi
3,Apartment,12000000.0,Jahi
3,Duplex,32000000.0,Jabi
4,Duplex,30000000.0,Guzape
3,Apartment,8000000.0,Wuye
4,Duplex,17000000.0,Guzape
3,Apartment,8000000.0,Jahi
4,Duplex,30000000.0,Guzape
3,Apartment,5000000.0,Kaura
4,Duplex,15000000.0,Gwarinpa
4,Duplex,12000000.0,Life Camp
4,Apartment,54198800.0,Jabi
3,Apartment,10000000.0,Katampe
3,Bungalow,8000000.0,Jahi
5,Duplex,50000000.0,Asokoro
4,Duplex,12000000.0,Kado
6,Duplex,20000000.0,Katampe
3,Bungalow,30000000.0,Guzape
4,Duplex,15000000.0,Mabushi
5,Duplex,20000000.0,Kado
4,Duplex,15000000.0,Wuse
3,Duplex,32000000.0,Jabi
3,Duplex,10000000.0,Apo
4,Duplex,10000000.0,Life Camp
6,Duplex,20000000.0,Katampe
1,Apartment,1800000.0,Lokogoma
4,Duplex,15000000.0,Asokoro
4,Duplex,15000000.0,Asokoro
3,Apartment,13500000.0,Lugbe
2,Apartment,6000000.0,Katampe
3,Apartment,5000000.0,Jahi
6,Duplex,20000000.0,Katampe
6,Duplex,20000000.0,Katampe
2,Apartment,25000000.0,Asokoro
1,Apartment,6000000.0,Katampe
2,Apartment,26000000.0,Wuye
2,Apartment,7000000.0,Apo
3,Duplex,32000000.0,Jabi
1,Apartment,10000000.0,Wuye
4,Apartment,15000000.0,Mabushi
4,Apartment,12000000.0,Mabushi
2,Apartment,7000000.0,Maitama
4,Duplex,9000000.0,Apo
3,Apartment,150000000.0,Jabi
3,Bungalow,1761461000000.0,Asokoro
4,Duplex,20000000.0,Katampe
2,Apartment,18500000.0,Wuye
2,Apartment,3500000.0,Lugbe
3,Bungalow,15000000.0,Kado
4,Duplex,35000000.0,Wuse
1,Apartment,700000.0,Lokogoma
2,Apartment,7500000.0,Katampe
3,Apartment,5000000.0,Life Camp
1,Apartment,3700000.0,Durumi
3,Duplex,32000000.0,Jabi
3,Apartment,10000000.0,Jahi
5,Duplex,10000000.0,Apo
3,Apartment,160000000.0,Mabushi
2,Apartment,6500000.0,Wuye
2,Apartment,5000000.0,Jahi
4,Duplex,10000000.0,Lugbe
1,Apartment,4000000.0,Gwarinpa
1,Apartment,2500000.0,Gwarinpa
3,Apartment,6500000.0,Utako
4,Duplex,9000000.0,Lugbe
3,Apartment,8000000.0,Jahi
5,Duplex,55000000.0,Guzape
4,Duplex,12000000.0,Mabushi
3,Apartment,12000000.0,Wuye
3,Apartment,13000000.0,Katampe
6,Duplex,25000000.0,Gwarinpa
4,Duplex,15000000.0,Wuye
3,Duplex,32000000.0,Jabi
3,Duplex,40000000.0,Katampe
4,Duplex,15000000.0,Gwarinpa
5,Duplex,100000000.0,Asokoro
2,Apartment,4500000.0,Mabushi
3,Duplex,40000000.0,Katampe
4,Duplex,45000000.0,Maitama
2,Apartment,10000000.0,Jahi
3,Apartment,10000000.0,Jahi
2,Apartment,4000000.0,Garki
4,Duplex,17000000.0,Apo
4,Duplex,12000000.0,Apo
3,Apartment,15000000.0,Utako
3,Apartment,8000000.0,Utako
3,Duplex,32000000.0,Jabi
4,Duplex,13000000.0,Maitama
4,Duplex,45000000.0,Maitama
2,Apartment,2000000.0,Gwarinpa
1,Apartment,3500000.0,Gwarinpa
2,Apartment,3000000.0,Gwarinpa
3,Apartment,8000000.0,Katampe
1,Apartment,5500000.0,Guzape
3,Apartment,8000000.0,Jahi
3,Apartment,10000000.0,Katampe
5,Duplex,60000000.0,Maitama
4,Duplex,15000000.0,Gwarinpa
5,Duplex,7500000.0,Kaura
2,Apartment,12000000.0,Maitama
