Bedrooms,Property Category,Price(Float),District,Source
3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre
3.0,Apartment,8500000.0,Kaura,Nigeria Property Centre
1.0,Apartment,1500000.0,Apo,Nigeria Property Centre
3.0,Apartment,10000000.0,Apo,Nigeria Property Centre
2.0,Apartment,7500000.0,Apo,Nigeria Property Centre
5.0,Duplex,9000000.0,Lokogoma,Nigeria Property Centre
3.0,Apartment,3500000.0,Apo,Nigeria Property Centre
4.0,Duplex,12000000.0,Mabushi,Nigeria Property Centre
3.0,Bungalow,8000000.0,Jahi,Nigeria Property Centre
2.0,Apartment,20000000.0,Life Camp,Nigeria Property Centre
3.0,Apartment,22000000.0,Life Camp,Nigeria Property Centre
4.0,Bungalow,40000000.0,Guzape,Nigeria Property Centre
1.0,Apartment,5000000.0,Apo,Nigeria Property Centre
4.0,Duplex,12000000.0,Mabushi,Nigeria Property Centre
3.0,Apartment,10000000.0,Jabi,Nigeria Property Centre
4.0,Duplex,15000000.0,Mabushi,Nigeria Property Centre
4.0,Duplex,13500000.0,Mabushi,Nigeria Property Centre
4.0,Duplex,13000000.0,Mabushi,Nigeria Property Centre
4.0,Duplex,12000000.0,Mabushi,Nigeria Property Centre
3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre
4.0,Duplex,12000000.0,Mabushi,Nigeria Property Centre
4.0,Bungalow,7000000.0,Life Camp,Nigeria Property Centre
3.0,Apartment,9000000.0,Jabi,Nigeria Property Centre
3.0,Apartment,9000000.0,Jahi,Nigeria Property Centre
3.0,Apartment,10000000.0,Katampe,Nigeria Property Centre
3.0,Bungalow,8500000.0,Jahi,Nigeria Property Centre
3.0,Apartment,12000000.0,Jahi,Nigeria Property Centre
4.0,Bungalow,7000000.0,Garki,Nigeria Property Centre
4.0,Apartment,9000000.0,Jahi,Nigeria Property Centre
1.0,Apartment,3500000.0,Utako,Nigeria Property Centre
3.0,Apartment,8000000.0,Katampe,Nigeria Property Centre
3.0,Apartment,9000000.0,Jahi,Nigeria Property Centre
3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre
