,Bedrooms,Property Category,Price(Float),District,Source,Price_per_Bed,district_tier,District Tier
0,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
1,3.0,Apartment,8500000.0,Kaura,Nigeria Property Centre,2833333.3333333335,Budget,Budget
2,1.0,Apartment,1500000.0,Apo,Nigeria Property Centre,1500000.0,Mid-Range,Mid-Range
3,3.0,Apartment,10000000.0,Apo,Nigeria Property Centre,3333333.3333333335,Mid-Range,Mid-Range
4,2.0,Apartment,7500000.0,Apo,Nigeria Property Centre,3750000.0,Mid-Range,Mid-Range
5,5.0,Duplex,9000000.0,Lokogoma,Nigeria Property Centre,1800000.0,Budget,Budget
6,3.0,Apartment,3500000.0,Apo,Nigeria Property Centre,1166666.6666666667,Mid-Range,Mid-Range
7,4.0,Duplex,12000000.0,Mabushi,Nigeria Property Centre,3000000.0,Luxury,Luxury
8,3.0,Bungalow,8000000.0,Jahi,Nigeria Property Centre,2666666.6666666665,Mid-Range,Mid-Range
9,2.0,Apartment,20000000.0,Life Camp,Nigeria Property Centre,10000000.0,Budget,Budget
10,3.0,Apartment,22000000.0,Life Camp,Nigeria Property Centre,7333333.333333333,Budget,Budget
11,4.0,Bungalow,40000000.0,Guzape,Nigeria Property Centre,10000000.0,Luxury,Luxury
12,1.0,Apartment,5000000.0,Apo,Nigeria Property Centre,5000000.0,Mid-Range,Mid-Range
13,4.0,Duplex,12000000.0,Mabushi,Nigeria Property Centre,3000000.0,Luxury,Luxury
14,3.0,Apartment,10000000.0,Jabi,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
15,4.0,Duplex,15000000.0,Mabushi,Nigeria Property Centre,3750000.0,Luxury,Luxury
16,4.0,Duplex,13500000.0,Mabushi,Nigeria Property Centre,3375000.0,Luxury,Luxury
17,4.0,Duplex,13000000.0,Mabushi,Nigeria Property Centre,3250000.0,Luxury,Luxury
18,4.0,Duplex,12000000.0,Mabushi,Nigeria Property Centre,3000000.0,Luxury,Luxury
19,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
20,4.0,Duplex,12000000.0,Mabushi,Nigeria Property Centre,3000000.0,Luxury,Luxury
21,4.0,Bungalow,7000000.0,Life Camp,Nigeria Property Centre,1750000.0,Budget,Budget
22,3.0,Apartment,9000000.0,Jabi,Nigeria Property Centre,3000000.0,Luxury,Luxury
23,3.0,Apartment,9000000.0,Jahi,Nigeria Property Centre,3000000.0,Mid-Range,Mid-Range
24,3.0,Apartment,10000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
25,3.0,Bungalow,8500000.0,Jahi,Nigeria Property Centre,2833333.3333333335,Mid-Range,Mid-Range
26,3.0,Apartment,12000000.0,Jahi,Nigeria Property Centre,4000000.0,Mid-Range,Mid-Range
27,4.0,Bungalow,7000000.0,Garki,Nigeria Property Centre,1750000.0,Mid-Range,Mid-Range
28,4.0,Apartment,9000000.0,Jahi,Nigeria Property Centre,2250000.0,Mid-Range,Mid-Range
29,1.0,Apartment,3500000.0,Utako,Nigeria Property Centre,3500000.0,Mid-Range,Mid-Range
30,3.0,Apartment,8000000.0,Katampe,Nigeria Property Centre,2666666.6666666665,Luxury,Luxury
31,3.0,Apartment,9000000.0,Jahi,Nigeria Property Centre,3000000.0,Mid-Range,Mid-Range
32,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
34,3.0,Apartment,8500000.0,Jahi,Nigeria Property Centre,2833333.3333333335,Mid-Range,Mid-Range
35,1.0,Apartment,7500000.0,Jahi,Nigeria Property Centre,7500000.0,Mid-Range,Mid-Range
36,3.0,Apartment,9000000.0,Jahi,Nigeria Property Centre,3000000.0,Mid-Range,Mid-Range
37,4.0,Duplex,10000000.0,Gwarinpa,Nigeria Property Centre,2500000.0,Budget,Budget
38,3.0,Apartment,8500000.0,Jahi,Nigeria Property Centre,2833333.3333333335,Mid-Range,Mid-Range
39,1.0,Apartment,8000000.0,Katampe,Nigeria Property Centre,8000000.0,Luxury,Luxury
40,2.0,Apartment,5000000.0,Life Camp,Nigeria Property Centre,2500000.0,Budget,Budget
41,1.0,Apartment,4000000.0,Life Camp,Nigeria Property Centre,4000000.0,Budget,Budget
42,3.0,Bungalow,3500000.0,Lugbe,Nigeria Property Centre,1166666.6666666667,Budget,Budget
44,3.0,Apartment,10000000.0,Jahi,Nigeria Property Centre,3333333.3333333335,Mid-Range,Mid-Range
45,4.0,Duplex,15000000.0,Mabushi,Nigeria Property Centre,3750000.0,Luxury,Luxury
46,3.0,Apartment,8000000.0,Jahi,Nigeria Property Centre,2666666.6666666665,Mid-Range,Mid-Range
47,2.0,Apartment,7000000.0,Kado,Nigeria Property Centre,3500000.0,Mid-Range,Mid-Range
48,4.0,Bungalow,9000000.0,Lugbe,Nigeria Property Centre,2250000.0,Budget,Budget
49,3.0,Apartment,10000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
50,2.0,Bungalow,5000000.0,Life Camp,Nigeria Property Centre,2500000.0,Budget,Budget
51,3.0,Apartment,10000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
52,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
53,2.0,Apartment,6000000.0,Garki,Nigeria Property Centre,3000000.0,Mid-Range,Mid-Range
54,6.0,Duplex,20000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
55,3.0,Apartment,10000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
56,2.0,Apartment,7000000.0,Jahi,Nigeria Property Centre,3500000.0,Mid-Range,Mid-Range
57,2.0,Apartment,4500000.0,Gwarinpa,Nigeria Property Centre,2250000.0,Budget,Budget
58,6.0,Duplex,20000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
59,3.0,Apartment,7000000.0,Wuye,Nigeria Property Centre,2333333.3333333335,Luxury,Luxury
60,3.0,Apartment,7000000.0,Mabushi,Nigeria Property Centre,2333333.3333333335,Luxury,Luxury
61,3.0,Apartment,12000000.0,Jahi,Nigeria Property Centre,4000000.0,Mid-Range,Mid-Range
62,3.0,Apartment,10000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
63,5.0,Duplex,15000000.0,Gwarinpa,Nigeria Property Centre,3000000.0,Budget,Budget
64,4.0,Duplex,15000000.0,Mabushi,Nigeria Property Centre,3750000.0,Luxury,Luxury
65,3.0,Apartment,8000000.0,Jahi,Nigeria Property Centre,2666666.6666666665,Mid-Range,Mid-Range
66,4.0,Duplex,45000000.0,Maitama,Nigeria Property Centre,11250000.0,Luxury,Luxury
67,2.0,Apartment,7000000.0,Jahi,Nigeria Property Centre,3500000.0,Mid-Range,Mid-Range
68,4.0,Bungalow,8500000.0,Gwarinpa,Nigeria Property Centre,2125000.0,Budget,Budget
69,3.0,Apartment,7000000.0,Wuye,Nigeria Property Centre,2333333.3333333335,Luxury,Luxury
70,4.0,Duplex,15000000.0,Jabi,Nigeria Property Centre,3750000.0,Luxury,Luxury
71,3.0,Apartment,12000000.0,Jahi,Nigeria Property Centre,4000000.0,Mid-Range,Mid-Range
72,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
73,3.0,Apartment,8000000.0,Jahi,Nigeria Property Centre,2666666.6666666665,Mid-Range,Mid-Range
74,1.0,Apartment,4500000.0,Apo,Nigeria Property Centre,4500000.0,Mid-Range,Mid-Range
75,3.0,Bungalow,9000000.0,Jahi,Nigeria Property Centre,3000000.0,Mid-Range,Mid-Range
76,4.0,Duplex,15000000.0,Mabushi,Nigeria Property Centre,3750000.0,Luxury,Luxury
77,1.0,Apartment,7000000.0,Jahi,Nigeria Property Centre,7000000.0,Mid-Range,Mid-Range
78,4.0,Duplex,15000000.0,Mabushi,Nigeria Property Centre,3750000.0,Luxury,Luxury
79,2.0,Apartment,6000000.0,Utako,Nigeria Property Centre,3000000.0,Mid-Range,Mid-Range
80,1.0,Apartment,4000000.0,Jahi,Nigeria Property Centre,4000000.0,Mid-Range,Mid-Range
81,4.0,Duplex,25000000.0,Jabi,Nigeria Property Centre,6250000.0,Luxury,Luxury
82,5.0,Duplex,30000000.0,Utako,Nigeria Property Centre,6000000.0,Mid-Range,Mid-Range
83,3.0,Apartment,12000000.0,Mabushi,Nigeria Property Centre,4000000.0,Luxury,Luxury
84,4.0,Duplex,7000000.0,Lugbe,Nigeria Property Centre,1750000.0,Budget,Budget
85,3.0,Apartment,10000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
86,2.0,Apartment,4500000.0,Mabushi,Nigeria Property Centre,2250000.0,Luxury,Luxury
87,3.0,Apartment,10000000.0,Jahi,Nigeria Property Centre,3333333.3333333335,Mid-Range,Mid-Range
88,3.0,Apartment,12000000.0,Jahi,Nigeria Property Centre,4000000.0,Mid-Range,Mid-Range
89,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
90,4.0,Duplex,30000000.0,Guzape,Nigeria Property Centre,7500000.0,Luxury,Luxury
91,3.0,Apartment,8000000.0,Wuye,Nigeria Property Centre,2666666.6666666665,Luxury,Luxury
92,4.0,Duplex,17000000.0,Guzape,Nigeria Property Centre,4250000.0,Luxury,Luxury
93,3.0,Apartment,8000000.0,Jahi,Nigeria Property Centre,2666666.6666666665,Mid-Range,Mid-Range
94,4.0,Duplex,30000000.0,Guzape,Nigeria Property Centre,7500000.0,Luxury,Luxury
95,3.0,Apartment,5000000.0,Kaura,Nigeria Property Centre,1666666.6666666667,Budget,Budget
96,4.0,Duplex,15000000.0,Gwarinpa,Nigeria Property Centre,3750000.0,Budget,Budget
97,4.0,Duplex,12000000.0,Life Camp,Nigeria Property Centre,3000000.0,Budget,Budget
99,3.0,Apartment,10000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
100,3.0,Bungalow,8000000.0,Jahi,Nigeria Property Centre,2666666.6666666665,Mid-Range,Mid-Range
101,5.0,Duplex,50000000.0,Asokoro,Nigeria Property Centre,10000000.0,Luxury,Luxury
102,4.0,Duplex,12000000.0,Kado,Nigeria Property Centre,3000000.0,Mid-Range,Mid-Range
103,6.0,Duplex,20000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
104,3.0,Bungalow,30000000.0,Guzape,Nigeria Property Centre,10000000.0,Luxury,Luxury
105,4.0,Duplex,15000000.0,Mabushi,Nigeria Property Centre,3750000.0,Luxury,Luxury
106,5.0,Duplex,20000000.0,Kado,Nigeria Property Centre,4000000.0,Mid-Range,Mid-Range
107,4.0,Duplex,15000000.0,Wuse,Nigeria Property Centre,3750000.0,Luxury,Luxury
108,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
109,3.0,Duplex,10000000.0,Apo,Nigeria Property Centre,3333333.3333333335,Mid-Range,Mid-Range
110,4.0,Duplex,10000000.0,Life Camp,Nigeria Property Centre,2500000.0,Budget,Budget
111,6.0,Duplex,20000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
112,1.0,Apartment,1800000.0,Lokogoma,Nigeria Property Centre,1800000.0,Budget,Budget
113,4.0,Duplex,15000000.0,Asokoro,Nigeria Property Centre,3750000.0,Luxury,Luxury
114,4.0,Duplex,15000000.0,Asokoro,Nigeria Property Centre,3750000.0,Luxury,Luxury
115,3.0,Apartment,13500000.0,Lugbe,Nigeria Property Centre,4500000.0,Budget,Budget
116,2.0,Apartment,6000000.0,Katampe,Nigeria Property Centre,3000000.0,Luxury,Luxury
117,3.0,Apartment,5000000.0,Jahi,Nigeria Property Centre,1666666.6666666667,Mid-Range,Mid-Range
118,6.0,Duplex,20000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
119,6.0,Duplex,20000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
120,2.0,Apartment,25000000.0,Asokoro,Nigeria Property Centre,12500000.0,Luxury,Luxury
121,1.0,Apartment,6000000.0,Katampe,Nigeria Property Centre,6000000.0,Luxury,Luxury
122,2.0,Apartment,26000000.0,Wuye,Nigeria Property Centre,13000000.0,Luxury,Luxury
123,2.0,Apartment,7000000.0,Apo,Nigeria Property Centre,3500000.0,Mid-Range,Mid-Range
124,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
125,1.0,Apartment,10000000.0,Wuye,Nigeria Property Centre,10000000.0,Luxury,Luxury
126,4.0,Apartment,15000000.0,Mabushi,Nigeria Property Centre,3750000.0,Luxury,Luxury
127,4.0,Apartment,12000000.0,Mabushi,Nigeria Property Centre,3000000.0,Luxury,Luxury
128,2.0,Apartment,7000000.0,Maitama,Nigeria Property Centre,3500000.0,Luxury,Luxury
129,4.0,Duplex,9000000.0,Apo,Nigeria Property Centre,2250000.0,Mid-Range,Mid-Range
132,4.0,Duplex,20000000.0,Katampe,Nigeria Property Centre,5000000.0,Luxury,Luxury
133,2.0,Apartment,18500000.0,Wuye,Nigeria Property Centre,9250000.0,Luxury,Luxury
134,2.0,Apartment,3500000.0,Lugbe,Nigeria Property Centre,1750000.0,Budget,Budget
135,3.0,Bungalow,15000000.0,Kado,Nigeria Property Centre,5000000.0,Mid-Range,Mid-Range
136,4.0,Duplex,35000000.0,Wuse,Nigeria Property Centre,8750000.0,Luxury,Luxury
137,1.0,Apartment,700000.0,Lokogoma,Nigeria Property Centre,700000.0,Budget,Budget
138,2.0,Apartment,7500000.0,Katampe,Nigeria Property Centre,3750000.0,Luxury,Luxury
139,3.0,Apartment,5000000.0,Life Camp,Nigeria Property Centre,1666666.6666666667,Budget,Budget
140,1.0,Apartment,3700000.0,Durumi,Nigeria Property Centre,3700000.0,Budget,Budget
141,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
142,3.0,Apartment,10000000.0,Jahi,Nigeria Property Centre,3333333.3333333335,Mid-Range,Mid-Range
143,5.0,Duplex,10000000.0,Apo,Nigeria Property Centre,2000000.0,Mid-Range,Mid-Range
