Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),District,Price(Float)
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦8,500,000","Games Village, Kaura, Abuja",3,Apartment,"₦8,500,000.00",Kaura,"8,500,000.00"
mini flat (room and parlour),"₦1,500,000","Along Apo Primary/wumba, Apo, Abuja",1,Apartment,"₦1,500,000.00",Apo,"1,500,000.00"
flat / apartment,"₦10,000,000","Apo Nepa By Aa Rano Filling Station, Apo, Abuja",3,Apartment,"₦10,000,000.00",Apo,"10,000,000.00"
flat / apartment,"₦7,500,000","Apo Nepa By A.a Rano Filling Station, Apo, Abuja",2,Apartment,"₦7,500,000.00",Apo,"7,500,000.00"
detached duplex,"₦9,000,000","Around Sunnyvale Estate, Lokogoma District, Abuja",5,Duplex,"₦9,000,000.00",Lokogoma,"9,000,000.00"
flat / apartment,"₦3,500,000","Apo, Abuja",3,Apartment,"₦3,500,000.00",Apo,"3,500,000.00"
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00",Mabushi,"12,000,000.00"
house,"₦8,000,000","Jahi, Abuja",3,House,"₦8,000,000.00",Jahi,"8,000,000.00"
flat / apartment,"₦20,000,000","Life Camp, Abuja",2,Apartment,"₦20,000,000.00",Life Camp,"20,000,000.00"
flat / apartment,"₦22,000,000","Life Camp, Abuja",3,Apartment,"₦22,000,000.00",Life Camp,"22,000,000.00"
detached bungalow,"₦40,000,000","Guzape District, Abuja",4,Bungalow,"₦40,000,000.00",Guzape,"40,000,000.00"
flat / apartment,"₦5,000,000","Nepa, Apo, Abuja",1,Apartment,"₦5,000,000.00",Apo,"5,000,000.00"
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00",Mabushi,"12,000,000.00"
flat / apartment,"₦10,000,000","Jabi, Abuja",3,Apartment,"₦10,000,000.00",Jabi,"10,000,000.00"
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
terraced duplex,"₦13,500,000","Mabushi, Abuja",4,Duplex,"₦13,500,000.00",Mabushi,"13,500,000.00"
terraced duplex,"₦13,000,000","Mabushi, Abuja",4,Duplex,"₦13,000,000.00",Mabushi,"13,000,000.00"
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00",Mabushi,"12,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00",Mabushi,"12,000,000.00"
detached bungalow,"₦7,000,000","Life Camp, Abuja",4,Bungalow,"₦7,000,000.00",Life Camp,"7,000,000.00"
flat / apartment,"₦9,000,000","Jabi, Abuja",3,Apartment,"₦9,000,000.00",Jabi,"9,000,000.00"
flat / apartment,"₦9,000,000","Jahi, Abuja",3,Apartment,"₦9,000,000.00",Jahi,"9,000,000.00"
flat / apartment,"₦10,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦10,000,000.00",Katampe,"10,000,000.00"
house,"₦8,500,000","Jahi, Abuja",3,House,"₦8,500,000.00",Jahi,"8,500,000.00"
flat / apartment,"₦12,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦12,000,000.00",Jahi,"12,000,000.00"
semi-detached bungalow,"₦7,000,000","Area 1, Garki, Abuja",4,Bungalow,"₦7,000,000.00",Garki,"7,000,000.00"
flat / apartment,"₦9,000,000","By Gilmore, Jahi, Abuja",4,Apartment,"₦9,000,000.00",Jahi,"9,000,000.00"
mini flat (room and parlour),"₦3,500,000","Utako, Abuja",1,Apartment,"₦3,500,000.00",Utako,"3,500,000.00"
flat / apartment,"₦8,000,000","Nicon Junction, Katampe, Abuja",3,Apartment,"₦8,000,000.00",Katampe,"8,000,000.00"
flat / apartment,"₦9,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦9,000,000.00",Jahi,"9,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
detached duplex,"₦60,000,000","Maitama District, Abuja",5,Duplex,"₦60,000,000.00",Maitama,"60,000,000.00"
flat / apartment,"₦8,500,000","Jahi, Abuja",3,Apartment,"₦8,500,000.00",Jahi,"8,500,000.00"
mini flat (room and parlour),"₦7,500,000","By Pappies, Jahi, Abuja",1,Apartment,"₦7,500,000.00",Jahi,"7,500,000.00"
flat / apartment,"₦9,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦9,000,000.00",Jahi,"9,000,000.00"
semi-detached duplex,"₦10,000,000","Gwarinpa, Abuja",4,Duplex,"₦10,000,000.00",Gwarinpa,"10,000,000.00"
flat / apartment,"₦8,500,000","Jahi, Abuja",3,Apartment,"₦8,500,000.00",Jahi,"8,500,000.00"
flat / apartment,"₦8,000,000","Katampe Extension, Katampe, Abuja",1,Apartment,"₦8,000,000.00",Katampe,"8,000,000.00"
flat / apartment,"₦5,000,000","Life Camp, Abuja",2,Apartment,"₦5,000,000.00",Life Camp,"5,000,000.00"
mini flat (room and parlour),"₦4,000,000","Life Camp, Abuja",1,Apartment,"₦4,000,000.00",Life Camp,"4,000,000.00"
semi-detached bungalow,"₦3,500,000","Grace Land Estate Around Nut, Lugbe District, Abuja",3,Bungalow,"₦3,500,000.00",Lugbe,"3,500,000.00"
detached duplex,"₦250,000,000","Off Ty Danjuma Street, Asokoro District, Abuja",9,Duplex,"₦250,000,000.00",Asokoro,"250,000,000.00"
flat / apartment,"₦10,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
flat / apartment,"₦7,000,000","Kado, Abuja",2,Apartment,"₦7,000,000.00",Kado,"7,000,000.00"
terraced bungalow,"₦9,000,000","Lugbe District, Abuja",4,Bungalow,"₦9,000,000.00",Lugbe,"9,000,000.00"
flat / apartment,"₦10,000,000","Katampe, Abuja",3,Apartment,"₦10,000,000.00",Katampe,"10,000,000.00"
semi-detached bungalow,"₦5,000,000","Life Camp, Abuja",2,Bungalow,"₦5,000,000.00",Life Camp,"5,000,000.00"
flat / apartment,"₦10,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦10,000,000.00",Katampe,"10,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
