,index,Bedrooms,Property Category,District,Price(Float),Price_Per_Bed,effective_bedrooms,price_per_bedroom,district_tier,property_type_code
0,0,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
1,1,3,Apartment,Kaura,8500000.0,2833333.3333333335,3,2833333.3333333335,Budget,0
2,2,1,Apartment,Apo,1500000.0,1500000.0,1,1500000.0,Mid-Range,0
3,3,3,Apartment,Apo,10000000.0,3333333.3333333335,3,3333333.3333333335,Mid-Range,0
4,4,2,Apartment,Apo,7500000.0,3750000.0,2,3750000.0,Mid-Range,0
5,5,5,Duplex,Lokogoma,9000000.0,1800000.0,5,1800000.0,Budget,2
6,6,3,Apartment,Apo,3500000.0,1166666.6666666667,3,1166666.6666666667,Mid-Range,0
7,7,4,Duplex,Mabushi,12000000.0,3000000.0,4,3000000.0,Mid-Range,2
8,8,3,House,Jahi,8000000.0,2666666.6666666665,3,2666666.6666666665,Mid-Range,3
9,9,2,Apartment,Life Camp,20000000.0,10000000.0,2,10000000.0,Budget,0
10,10,3,Apartment,Life Camp,22000000.0,7333333.333333333,3,7333333.333333333,Budget,0
11,11,4,Bungalow,Guzape,40000000.0,10000000.0,4,10000000.0,Luxury,1
12,12,1,Apartment,Apo,5000000.0,5000000.0,1,5000000.0,Mid-Range,0
13,13,4,Duplex,Mabushi,12000000.0,3000000.0,4,3000000.0,Mid-Range,2
14,14,3,Apartment,Jabi,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
15,15,4,Duplex,Mabushi,15000000.0,3750000.0,4,3750000.0,Mid-Range,2
16,16,4,Duplex,Mabushi,13500000.0,3375000.0,4,3375000.0,Mid-Range,2
17,17,4,Duplex,Mabushi,13000000.0,3250000.0,4,3250000.0,Mid-Range,2
18,18,4,Duplex,Mabushi,12000000.0,3000000.0,4,3000000.0,Mid-Range,2
19,19,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
20,20,4,Duplex,Mabushi,12000000.0,3000000.0,4,3000000.0,Mid-Range,2
21,21,4,Bungalow,Life Camp,7000000.0,1750000.0,4,1750000.0,Budget,1
22,22,3,Apartment,Jabi,9000000.0,3000000.0,3,3000000.0,Luxury,0
23,23,3,Apartment,Jahi,9000000.0,3000000.0,3,3000000.0,Mid-Range,0
24,24,3,Apartment,Katampe,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
25,25,3,House,Jahi,8500000.0,2833333.3333333335,3,2833333.3333333335,Mid-Range,3
26,26,3,Apartment,Jahi,12000000.0,4000000.0,3,4000000.0,Mid-Range,0
27,27,4,Bungalow,Garki,7000000.0,1750000.0,4,1750000.0,Mid-Range,1
28,28,4,Apartment,Jahi,9000000.0,2250000.0,4,2250000.0,Mid-Range,0
29,29,1,Apartment,Utako,3500000.0,3500000.0,1,3500000.0,Mid-Range,0
30,30,3,Apartment,Katampe,8000000.0,2666666.6666666665,3,2666666.6666666665,Luxury,0
31,31,3,Apartment,Jahi,9000000.0,3000000.0,3,3000000.0,Mid-Range,0
32,32,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
34,34,3,Apartment,Jahi,8500000.0,2833333.3333333335,3,2833333.3333333335,Mid-Range,0
35,35,1,Apartment,Jahi,7500000.0,7500000.0,1,7500000.0,Mid-Range,0
36,36,3,Apartment,Jahi,9000000.0,3000000.0,3,3000000.0,Mid-Range,0
37,37,4,Duplex,Gwarinpa,10000000.0,2500000.0,4,2500000.0,Budget,2
38,38,3,Apartment,Jahi,8500000.0,2833333.3333333335,3,2833333.3333333335,Mid-Range,0
39,39,1,Apartment,Katampe,8000000.0,8000000.0,1,8000000.0,Luxury,0
40,40,2,Apartment,Life Camp,5000000.0,2500000.0,2,2500000.0,Budget,0
41,41,1,Apartment,Life Camp,4000000.0,4000000.0,1,4000000.0,Budget,0
42,42,3,Bungalow,Lugbe,3500000.0,1166666.6666666667,3,1166666.6666666667,Budget,1
44,44,3,Apartment,Jahi,10000000.0,3333333.3333333335,3,3333333.3333333335,Mid-Range,0
45,45,4,Duplex,Mabushi,15000000.0,3750000.0,4,3750000.0,Mid-Range,2
46,46,3,Apartment,Jahi,8000000.0,2666666.6666666665,3,2666666.6666666665,Mid-Range,0
47,47,2,Apartment,Kado,7000000.0,3500000.0,2,3500000.0,Mid-Range,0
48,48,4,Bungalow,Lugbe,9000000.0,2250000.0,4,2250000.0,Budget,1
49,49,3,Apartment,Katampe,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
50,50,2,Bungalow,Life Camp,5000000.0,2500000.0,2,2500000.0,Budget,1
51,51,3,Apartment,Katampe,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
52,52,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
53,53,2,Apartment,Garki,6000000.0,3000000.0,2,3000000.0,Mid-Range,0
54,54,6,Duplex,Katampe,20000000.0,3333333.3333333335,6,3333333.3333333335,Luxury,2
55,55,3,Apartment,Katampe,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
56,56,2,Apartment,Jahi,7000000.0,3500000.0,2,3500000.0,Mid-Range,0
57,57,2,Apartment,Gwarinpa,4500000.0,2250000.0,2,2250000.0,Budget,0
58,58,6,Duplex,Katampe,20000000.0,3333333.3333333335,6,3333333.3333333335,Luxury,2
59,59,3,Apartment,Wuye,7000000.0,2333333.3333333335,3,2333333.3333333335,Luxury,0
60,60,3,Apartment,Mabushi,7000000.0,2333333.3333333335,3,2333333.3333333335,Mid-Range,0
61,61,3,Apartment,Jahi,12000000.0,4000000.0,3,4000000.0,Mid-Range,0
62,62,3,Apartment,Katampe,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
63,63,5,Duplex,Gwarinpa,15000000.0,3000000.0,5,3000000.0,Budget,2
64,64,4,Duplex,Mabushi,15000000.0,3750000.0,4,3750000.0,Mid-Range,2
65,65,3,Apartment,Jahi,8000000.0,2666666.6666666665,3,2666666.6666666665,Mid-Range,0
66,66,4,Duplex,Maitama,45000000.0,11250000.0,4,11250000.0,Luxury,2
67,67,2,Apartment,Jahi,7000000.0,3500000.0,2,3500000.0,Mid-Range,0
68,68,4,Bungalow,Gwarinpa,8500000.0,2125000.0,4,2125000.0,Budget,1
69,69,3,Apartment,Wuye,7000000.0,2333333.3333333335,3,2333333.3333333335,Luxury,0
70,70,4,Duplex,Jabi,15000000.0,3750000.0,4,3750000.0,Luxury,2
71,71,3,Apartment,Jahi,12000000.0,4000000.0,3,4000000.0,Mid-Range,0
72,72,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
73,73,3,Apartment,Jahi,8000000.0,2666666.6666666665,3,2666666.6666666665,Mid-Range,0
74,74,1,Apartment,Apo,4500000.0,4500000.0,1,4500000.0,Mid-Range,0
75,75,3,House,Jahi,9000000.0,3000000.0,3,3000000.0,Mid-Range,3
76,76,4,Duplex,Mabushi,15000000.0,3750000.0,4,3750000.0,Mid-Range,2
77,77,1,Apartment,Jahi,7000000.0,7000000.0,1,7000000.0,Mid-Range,0
78,78,4,Duplex,Mabushi,15000000.0,3750000.0,4,3750000.0,Mid-Range,2
79,79,2,Apartment,Utako,6000000.0,3000000.0,2,3000000.0,Mid-Range,0
80,80,1,Apartment,Jahi,4000000.0,4000000.0,1,4000000.0,Mid-Range,0
