index,Bedrooms,Property Category,District,Price(Float)
0,3,Duplex,Jabi,"32,000,000.00"
1,3,Apartment,Kaura,"8,500,000.00"
2,1,Apartment,Apo,"1,500,000.00"
3,3,Apartment,Apo,"10,000,000.00"
4,2,Apartment,Apo,"7,500,000.00"
5,5,Duplex,Lokogoma,"9,000,000.00"
6,3,Apartment,Apo,"3,500,000.00"
7,4,Duplex,Mabushi,"12,000,000.00"
8,3,House,Jahi,"8,000,000.00"
9,2,Apartment,Life Camp,"20,000,000.00"
10,3,Apartment,Life Camp,"22,000,000.00"
11,4,Bungalow,Guzape,"40,000,000.00"
12,1,Apartment,Apo,"5,000,000.00"
13,4,Duplex,Mabushi,"12,000,000.00"
14,3,Apartment,Jabi,"10,000,000.00"
15,4,Duplex,Mabushi,"15,000,000.00"
16,4,Duplex,Mabushi,"13,500,000.00"
17,4,Duplex,Mabushi,"13,000,000.00"
18,4,Duplex,Mabushi,"12,000,000.00"
19,3,Duplex,Jabi,"32,000,000.00"
20,4,Duplex,Mabushi,"12,000,000.00"
21,4,Bungalow,Life Camp,"7,000,000.00"
22,3,Apartment,Jabi,"9,000,000.00"
23,3,Apartment,Jahi,"9,000,000.00"
24,3,Apartment,Katampe,"10,000,000.00"
25,3,House,Jahi,"8,500,000.00"
26,3,Apartment,Jahi,"12,000,000.00"
27,4,Bungalow,Garki,"7,000,000.00"
28,4,Apartment,Jahi,"9,000,000.00"
29,1,Apartment,Utako,"3,500,000.00"
30,3,Apartment,Katampe,"8,000,000.00"
31,3,Apartment,Jahi,"9,000,000.00"
32,3,Duplex,Jabi,"32,000,000.00"
33,5,Duplex,Maitama,"60,000,000.00"
34,3,Apartment,Jahi,"8,500,000.00"
35,1,Apartment,Jahi,"7,500,000.00"
36,3,Apartment,Jahi,"9,000,000.00"
37,4,Duplex,Gwarinpa,"10,000,000.00"
38,3,Apartment,Jahi,"8,500,000.00"
39,1,Apartment,Katampe,"8,000,000.00"
40,2,Apartment,Life Camp,"5,000,000.00"
41,1,Apartment,Life Camp,"4,000,000.00"
42,3,Bungalow,Lugbe,"3,500,000.00"
43,9,Duplex,Asokoro,"250,000,000.00"
44,3,Apartment,Jahi,"10,000,000.00"
45,4,Duplex,Mabushi,"15,000,000.00"
46,3,Apartment,Jahi,"8,000,000.00"
47,2,Apartment,Kado,"7,000,000.00"
48,4,Bungalow,Lugbe,"9,000,000.00"
49,3,Apartment,Katampe,"10,000,000.00"
50,2,Bungalow,Life Camp,"5,000,000.00"
51,3,Apartment,Katampe,"10,000,000.00"
52,3,Duplex,Jabi,"32,000,000.00"
53,2,Apartment,Garki,"6,000,000.00"
54,6,Duplex,Katampe,"20,000,000.00"
55,3,Apartment,Katampe,"10,000,000.00"
56,2,Apartment,Jahi,"7,000,000.00"
57,2,Apartment,Gwarinpa,"4,500,000.00"
58,6,Duplex,Katampe,"20,000,000.00"
59,3,Apartment,Wuye,"7,000,000.00"
60,3,Apartment,Mabushi,"7,000,000.00"
61,3,Apartment,Jahi,"12,000,000.00"
62,3,Apartment,Katampe,"10,000,000.00"
63,5,Duplex,Gwarinpa,"15,000,000.00"
64,4,Duplex,Mabushi,"15,000,000.00"
65,3,Apartment,Jahi,"8,000,000.00"
66,4,Duplex,Maitama,"45,000,000.00"
67,2,Apartment,Jahi,"7,000,000.00"
68,4,Bungalow,Gwarinpa,"8,500,000.00"
69,3,Apartment,Wuye,"7,000,000.00"
70,4,Duplex,Jabi,"15,000,000.00"
71,3,Apartment,Jahi,"12,000,000.00"
72,3,Duplex,Jabi,"32,000,000.00"
73,3,Apartment,Jahi,"8,000,000.00"
74,1,Apartment,Apo,"4,500,000.00"
75,3,House,Jahi,"9,000,000.00"
76,4,Duplex,Mabushi,"15,000,000.00"
77,1,Apartment,Jahi,"7,000,000.00"
78,4,Duplex,Mabushi,"15,000,000.00"
79,2,Apartment,Utako,"6,000,000.00"
80,1,Apartment,Jahi,"4,000,000.00"
81,4,Duplex,Jabi,"25,000,000.00"
82,5,Duplex,Utako,"30,000,000.00"
83,3,Apartment,Mabushi,"12,000,000.00"
84,4,Duplex,Lugbe,"7,000,000.00"
85,3,Apartment,Katampe,"10,000,000.00"
86,2,Apartment,Mabushi,"4,500,000.00"
87,3,Apartment,Jahi,"10,000,000.00"
88,3,Apartment,Jahi,"12,000,000.00"
89,3,Duplex,Jabi,"32,000,000.00"
90,4,House,Guzape,"30,000,000.00"
91,3,Apartment,Wuye,"8,000,000.00"
92,4,Duplex,Guzape,"17,000,000.00"
93,3,Apartment,Jahi,"8,000,000.00"
94,4,Duplex,Guzape,"30,000,000.00"
95,3,Apartment,Kaura,"5,000,000.00"
96,4,Duplex,Gwarinpa,"15,000,000.00"
97,4,Duplex,Life Camp,"12,000,000.00"
98,4,Apartment,Jabi,"54,198,800.00"
99,3,Apartment,Katampe,"10,000,000.00"
100,3,House,Jahi,"8,000,000.00"
101,5,Duplex,Asokoro,"50,000,000.00"
102,4,Duplex,Kado,"12,000,000.00"
103,6,Duplex,Katampe,"20,000,000.00"
104,3,House,Guzape,"30,000,000.00"
105,4,Duplex,Mabushi,"15,000,000.00"
106,5,Duplex,Kado,"20,000,000.00"
107,4,Duplex,Wuse,"15,000,000.00"
108,3,Duplex,Jabi,"32,000,000.00"
109,3,Duplex,Apo,"10,000,000.00"
110,4,Duplex,Life Camp,"10,000,000.00"
111,6,House,Katampe,"20,000,000.00"
112,1,Apartment,Lokogoma,"1,800,000.00"
113,4,House,Asokoro,"15,000,000.00"
114,4,House,Asokoro,"15,000,000.00"
115,3,Apartment,Lugbe,"13,500,000.00"
116,2,Apartment,Katampe,"6,000,000.00"
117,3,Apartment,Jahi,"5,000,000.00"
