,Price,Location,Bedrooms(s),Property Type
0,"₦ 35,000,000/year",Diplomatic Zone Asokoro Abuja,5,Furnished Detached Duplex
1,"₦ 40,000,000/year",Asokoro District Abuja Diplomatic Zone Asokoro Abuja,6,Mansion With 2room Bq
2,"₦ 13,000,000/year",Asokoro Abuja Diplomatic Zone Asokoro Abuja,3,Block Of Flat
3,"₦ 18,000,000/year",Guzape District Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex With Bq
4,"₦ 25,000,000/year","Diplomatic Zone, Guzape Abuja",4,Newly Built Terrace Duplex With Bq
5,"₦ 25,000,000/year",Asokoro District Abuja Diplomatic Zone Asokoro Abuja,4,Brand New Terraced Duplex With 1 Bq
6,"₦ 60,000,000/year","Diplomatic Zone, Guzape Abuja",5,Newly Built Detached Duplex With Bq
7,"₦ 18,000,000/year",Guzape District Abuja Diplomatic Zone Guzape Abuja,4,4 Units Of Terrace Duplex With Bq
8,"₦ 12,000,000/year","Asokoro District Abuja Diplomatic Zone, Asokoro Abuja",2,Well Renovated Flat
9,"₦ 300,000/day",Lekki Phase 1 Lekki Lagos,4,Waterfront Terraced Duplex With Ps5/pool
10,"₦ 5,500,000/year",Navy Town Estate Asokoro Diplomatic Zone In Asokoro Abuja,1,Bungalow
11,"₦ 80,000,000/year",Maitama District Abuja Diplomatic Zone Maitama Abuja,5,Fully Detached Mansion With 3room Bq
12,"₦ 25,000,000/year","Diplomatic Zone, Asokoro Abuja",4,Terrace Duplex With Bq
13,"₦ 20,000,000/year",Guzape District Abuja Diplomatic Zone Guzape Abuja,4,Detached Duplex With 2room Bq
14,"₦ 10,000,000/year",Mabushi District Abuja Mabushi Abuja,3,Block Of Flat
15,"$ 35,000/year",Mabushi District Abuja Diplomatic Zone Mabushi Abuja,2,Block Of Flat
16,"$ 35,000/year",Mabushi District Abuja Diplomatic Zone Mabushi Abuja,2,With Swimming Pool
17,"₦ 25,000,000/year",Wuse 2 District Abuja Diplomatic Zone Wuse 2 Abuja,4,Detached Duplex With Swimming Pool Gym
18,"$ 180,000/year",Asokoro District Abuja Diplomatic Zone Asokoro Abuja,3,Mansion With Swimming Pool
19,"₦ 25,000,000/year","Guzape District, Guzape Abuja",4,Fully Furnished Terraced Duplex With 1 Bq
20,"₦ 7,500,000/year","Naf Valley Estate, Asokoro Abuja",3,Brand New Block Of Flat
21,"₦ 13,000,000/year",Asokoro District Abuja Diplomatic Zone Asokoro Abuja,3,Well Renovated Terrace Duplex With Bq
22,"₦ 65,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,5,Mansion With Bq
